rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-6.4
2,,브롤스타즈,Supercell,액션게임,-0.84
3,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-1.2
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.75
5,,ROBLOX,Roblox Corporation,어드벤처게임,0.08
6,4.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,28.53
7,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-6.72
8,-1.0,Minecraft,Mojang,액션게임,-3.94
9,-1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,-0.52
10,-1.0,클래시 로얄,Supercell,전략게임,-1.73
11,1.0,클래시 오브 클랜,Supercell,전략게임,-2.49
12,-1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-4.28
13,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.72
14,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.63
15,,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.38
16,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.97
17,3.0,캔디크러쉬사가,King,캐주얼게임,0.94
18,1.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.9
19,-1.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-3.59
20,-3.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-6.21
21,,LoL+,"Riot Games, Inc",게임커뮤니티,-5.35
22,0.0,라그나로크 오리진,"GRAVITY Co., Ltd.",롤플레잉게임,
23,-1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-4.59
24,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-1.09
25,-2.0,무한의 계단,NFLY STUDIO,아케이드게임,-3.09
26,-1.0,AFK 아레나,LilithGames,롤플레잉게임,-1.92
27,6.0,리니지M,NCSOFT,롤플레잉게임,31.19
28,-2.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-13.84
29,2.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,8.07
30,-2.0,애니팡 사천성,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.04
31,-4.0,궁수의 전설,Habby,액션게임,-4.29
32,-3.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.74
33,-3.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-1.43
34,-2.0,캔디크러쉬소다,King,캐주얼게임,0.07
35,,Rummikub,Kinkajoo,보드게임,-2.39
36,,위 베어 베어스 더 퍼즐,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-3.28
37,,한게임 포커,NHN BIGFOOT,카지노게임,-3.38
38,,메이플스토리M,NEXON Company,롤플레잉게임,-2.96
39,,모두의마블,Netmarble,보드게임,-3.11
40,,장기,게임 스튜디오 모노몹,보드게임,-0.81
41,1.0,애니팡,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.15
42,-8.0,스톤에이지 월드,Netmarble,롤플레잉게임,-29.22
43,-2.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,-3.12
44,10.0,워드퍼즐 - 단어 게임! 재미있는 무료 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,5.51
45,-2.0,마피아42,TEAM42,전략게임,-7.02
46,,토킹톰 골드런,Outfit7 Limited,액션게임,-5.22
47,6.0,로드 오브 히어로즈,CloverGames,롤플레잉게임,2.3
