"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","리그 오브 레전드","https://trees.gamemeca.com/leagueoflegends","라이엇 게임즈","MOBA"
"2","(-)","피파온라인4","https://trees.gamemeca.com/fifaonline4","㈜넥슨코리아","스포츠"
"3","(-)","로스트아크","https://trees.gamemeca.com/lostark","㈜스마일게이트알피지","핵앤슬래시 MMORPG"
"4","(-)","메이플스토리","https://trees.gamemeca.com/maplestory","㈜넥슨코리아","MMORPG"
"5","(-)","던전앤파이터","https://trees.gamemeca.com/df","㈜넥슨코리아","벨트 스크롤 액션 RPG"
"6","(-)","아이온","https://trees.gamemeca.com/aion","㈜엔씨소프트","MMORPG"
"7","(+2)","발로란트","https://trees.gamemeca.com/valorant","라이엇 게임즈","FPS"
"8","(-1)","서든어택","https://trees.gamemeca.com/suddenattack","㈜넥슨코리아","FPS"
"9","(-1)","천하제일상 거상","https://trees.gamemeca.com/gersang","㈜에이케이인터렉티브","MMORPG"
"10","(-)","마인크래프트","https://trees.gamemeca.com/minecraft","엑스박스 게임 스튜디오","샌드박스"
"11","(-)","배틀그라운드","https://trees.gamemeca.com/battleground","펍지주식회사, 카카오게임즈","서바이벌 슈팅"
"12","(-)","카트라이더","https://trees.gamemeca.com/kartrider","㈜넥슨코리아","레이싱"
"13","(-)","아키에이지","https://trees.gamemeca.com/archeageon","㈜엑스엘게임즈","판타지 RPG"
"14","(+1)","테라","https://trees.gamemeca.com/teraon","㈜ 블루홀스튜디오","MMORPG"
"15","(-1)","디아블로2 레저렉션","","블리자드 엔터테인먼트 코리아","RPG"
"16","(+1)","오버워치","https://trees.gamemeca.com/playoverwatch","블리자드 엔터테인먼트","팀 기반 슈팅"
"17","(-1)","사이퍼즈","https://trees.gamemeca.com/cyphers","㈜넥슨코리아","액션"
"18","(+5)","파이널 판타지 14","https://trees.gamemeca.com/ff14","㈜액토즈소프트","MMORPG"
"19","(-1)","리니지","https://trees.gamemeca.com/lineageon","㈜엔씨소프트","MMORPG"
"20","(-1)","검은사막","https://trees.gamemeca.com/black_desert","㈜펄어비스","MMORPG"
"21","(-1)","테일즈런너","https://trees.gamemeca.com/talesrunner","㈜스마일게이트메가포트","레이싱"
"22","(-1)","스타크래프트: 브루드 워","https://trees.gamemeca.com/starcraft_bw","블리자드 엔터테인먼트 코리아","RTS"
"23","(-1)","크레이지 아케이드 비엔비","https://trees.gamemeca.com/cabnb","㈜넥슨코리아","아케이드"
"24","(-)","엘소드","https://trees.gamemeca.com/elsword","㈜넥슨코리아","횡스크롤 액션 MMORPG"
"25","(-)","마비노기","https://trees.gamemeca.com/mabinogi","㈜넥슨코리아","MMORPG"
"26","(-)","바람의나라","https://trees.gamemeca.com/baram","㈜넥슨코리아","MMORPG"
"27","(-)","월드 오브 워크래프트","https://trees.gamemeca.com/wow","블리자드 엔터테인먼트 코리아","MMORPG"
"28","(+3)","패스 오브 엑자일","https://trees.gamemeca.com/poe","㈜카카오게임즈","ARPG"
"29","(-1)","블레이드앤소울","https://trees.gamemeca.com/bns","㈜엔씨소프트","MMORPG"
"30","(NEW)","레드문","","레드게임즈","RPG"
"31","(-2)","리니지2","https://trees.gamemeca.com/lineageonii","㈜엔씨소프트","MMORPG"
"32","(-2)","스페셜포스","https://trees.gamemeca.com/specialforce","㈜드래곤플라이","FPS"
"33","(-1)","라테일","https://trees.gamemeca.com/latalepc","㈜액토즈소프트","횡스크롤 액션 MMORPG"
"34","(-1)","디아블로2","https://trees.gamemeca.com/diablo2","블리자드 엔터테인먼트","RPG"
"35","(-1)","포트나이트","https://trees.gamemeca.com/fortnite","에픽게임즈","빌딩 서바이벌 배틀로얄"
"36","(+1)","하스스톤","https://trees.gamemeca.com/hearthstone","블리자드 엔터테인먼트","CCG"
"37","(+1)","슬러거","","(주)네오위즈","스포츠"
"38","(NEW)","카운터 스트라이크 온라인","https://trees.gamemeca.com/csonline","㈜넥슨코리아","FPS"
"39","(+1)","아바","","(주)네오위즈","FPS/TPS"
"40","(NEW)","에이펙스 레전드","https://trees.gamemeca.com/apexlegends","일레트로닉 아츠","배틀로얄"
