"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"2","(-)","가디언 테일즈","https://trees.gamemeca.com/guardiantales","Kakao Games Corp.","롤플레잉"
"3","(-)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"4","(+4)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"5","(-1)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"6","(-)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"7","(-)","라그나로크 오리진","https://trees.gamemeca.com/ragnarokorigin","GRAVITY Co., Ltd.","롤플레잉"
"8","(+1)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"9","(+2)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"10","(-)","AFK 아레나","https://trees.gamemeca.com/hgame_gp","Lilith Games","롤플레잉"
"11","(+1)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"12","(-7)","아이러브커피N","https://trees.gamemeca.com/franchise","NATRIS","시뮬레이션"
"13","(+1)","마구마구 2020","https://trees.gamemeca.com/ma9bkr","Netmarble","스포츠"
"14","(+5)","그랑삼국","https://trees.gamemeca.com/snsgz2","YOUZU(SINGAPORE)PTE.LTD.","롤플레잉"
"15","(-)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"16","(+2)","A3: 스틸얼라이브","https://trees.gamemeca.com/a3","Netmarble","롤플레잉"
"17","(-)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"18","(+3)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"19","(+5)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"20","(+3)","슬램덩크","https://trees.gamemeca.com/slamdunkmobile","DeNA HONG KONG LIMITED","스포츠"
"21","(+6)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"22","(-)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"23","(-7)","걸카페건","https://trees.gamemeca.com/girlcafegungp","BILIBILI HK","액션"
"24","(+2)","더 킹 오브 파이터즈 올스타","https://trees.gamemeca.com/kofallstar","Netmarble","롤플레잉"
"25","(-)","포트리스 배틀로얄","https://trees.gamemeca.com/ftrs","PangSky","액션"
"26","(+2)","에픽세븐","https://trees.gamemeca.com/epic7","Smilegate Megaport","롤플레잉"
"27","(+4)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"28","(-15)","가디스 오브 제네시스","https://trees.gamemeca.com/goddessofgenesis","ZlongGames","롤플레잉"
"29","(+7)","스테리테일","https://trees.gamemeca.com/starrytale","4399 KOREA","롤플레잉"
"30","(-)","뮤 아크엔젤","https://trees.gamemeca.com/webzenmua","Webzen Inc.","롤플레잉"
"31","(+1)","배틀그라운드 모바일","https://trees.gamemeca.com/battlem","PUBG CORPORATION","액션"
"32","(+1)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"33","(+1)","달빛조각사","https://trees.gamemeca.com/moonlight","Kakao Games Corp.","롤플레잉"
"34","(-5)","리니지2 레볼루션","https://trees.gamemeca.com/lineageii","Netmarble","롤플레잉"
"35","(+2)","제5인격","https://trees.gamemeca.com/id5","X.D. Global","어드벤처"
"36","(-16)","스톤에이지 월드","https://trees.gamemeca.com/stonemmogb","Netmarble","롤플레잉"
"37","(+1)","라스트오리진","https://trees.gamemeca.com/lastorigin","smart joy","롤플레잉"
"38","(NEW)","히어로즈워: 카운터어택","https://trees.gamemeca.com/hw2","Com2uS","롤플레잉"
"39","(-)","랜덤 다이스","https://trees.gamemeca.com/royaldice","royaldice","전략"
"40","(NEW)","붕괴3rd","https://trees.gamemeca.com/bh3korea","miHoYo Limited","액션"
