"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","오딘: 발할라 라이징","https://trees.gamemeca.com/odin","KAKAO GAMES CORP.","롤플레잉"
"2","(-)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"3","(-)","제2의 나라","https://trees.gamemeca.com/2worlds","Netmarble","롤플레잉"
"4","(-)","쿠키런: 킹덤","https://trees.gamemeca.com/cookierunkingdom","Devsisters Corporation","롤플레잉"
"5","(+1)","원신","https://trees.gamemeca.com/genshin","miHoYo Limited","어드벤처"
"6","(-1)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"7","(-)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"8","(-)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"9","(-)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"10","(-)","세븐나이츠2","https://trees.gamemeca.com/sevenknights2","Netmarble","롤플레잉"
"11","(-)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"12","(+2)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"13","(-1)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"14","(-1)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"15","(-)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"16","(+2)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"17","(+7)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"18","(+1)","삼국지 전략판","https://trees.gamemeca.com/sgzzlb","Qookka Games","전략"
"19","(-2)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"20","(-4)","히어로즈 테일즈","https://trees.gamemeca.com/heroestales","37 MOBILE GAMES","롤플레잉"
"21","(+2)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"22","(+3)","리그 오브 레전드: 와일드 리프트","https://trees.gamemeca.com/wildrift","Riot Games, Inc","전략"
"23","(-3)","미르4","https://trees.gamemeca.com/mir4","Wemade Co., Ltd","롤플레잉"
"24","(+2)","더 킹 오브 파이터즈 올스타","https://trees.gamemeca.com/kofallstar","Netmarble","롤플레잉"
"25","(-3)","마이리틀포레스트","https://trees.gamemeca.com/malifo","Gamepub","시뮬레이션"
"26","(+1)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"27","(+1)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"28","(+5)","그랑사가","https://trees.gamemeca.com/gransaga","NPIXEL","롤플레잉"
"29","(+2)","제5인격","https://trees.gamemeca.com/id5","X.D. Global","어드벤처"
"30","(-1)","슬램덩크","https://trees.gamemeca.com/slamdunkmobile","DeNA HONG KONG LIMITED","스포츠"
"31","(-1)","배틀그라운드 모바일","https://trees.gamemeca.com/battlem","PUBG CORPORATION","액션"
"32","(+4)","모두의마블","https://trees.gamemeca.com/modoomarblekakao","Netmarble","보드"
"33","(-12)","퍼니싱:그레이 레이븐","https://trees.gamemeca.com/punishing","HK HERO ENTERTAINMENT CO., LIMITED","롤플레잉"
"34","(-2)","트릭스터M","https://trees.gamemeca.com/tricksterm","NCSOFT","롤플레잉"
"35","(+2)","AFK 아레나","https://trees.gamemeca.com/hgame_gp","Lilith Games","롤플레잉"
"36","(-2)","백야극광","https://trees.gamemeca.com/alchemystars","PROXIMA BETA","롤플레잉"
"37","(+3)","R2M","https://trees.gamemeca.com/r2m","Webzen Inc.","롤플레잉"
"38","(-)","킹덤 : 전쟁의 불씨","https://trees.gamemeca.com/projectf","파우게임즈","롤플레잉"
"39","(-4)","쿠키런: 오븐브레이크","https://trees.gamemeca.com/gb","Devsisters Corporation","아케이드"
"40","(NEW)","가디언 테일즈","https://trees.gamemeca.com/guardiantales","Kakao Games Corp.","롤플레잉"
