"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","엘든 링","https://trees.gamemeca.com/eldenring","FromSoftware Inc., BANDAI NAMCO Entertainment","오픈월드 액션 RPG"
"2","(+1)","플레이어언노운스 배틀그라운드","https://trees.gamemeca.com/battleground","PUBG Corporation","서바이벌 슈팅"
"3","(-1)","뱀파이어 서바이버즈","","poncle","액션 로그라이트"
"4","(-)","구스 구스 덕","https://trees.gamemeca.com/goose_goose_duck","Gaggle Studios, Inc.","생존"
"5","(-)","어몽 어스","https://trees.gamemeca.com/Among_Us","Innersloth","생존"
"6","(+2)","사이버펑크 2077","","CD PROJEKT RED","오픈월드 액션 RPG"
"7","(-1)","유희왕 마스터 듀얼","https://trees.gamemeca.com/yugioh_master_duel","Konami Digital Entertainment","카드 전략"
"8","(+2)","GTA 5","https://trees.gamemeca.com/grand_theft_auto_v","Rockstar Games","오픈월드 범죄 액션"
"9","(-)","스타듀밸리","https://trees.gamemeca.com/stardew_valley","ConcernedApe","전원생활 시뮬레이션"
"10","(+6)","풋볼 매니저 2022","https://trees.gamemeca.com/football_manager_2022","SEGA","시뮬레이션"
"11","(+1)","갓 오브 워","","PlayStation PC LLC","액션 어드벤처"
"12","(-1)","잇 테이크 투","","Electronic Arts","액션"
"13","(+1)","이터널 리턴","","Nimble Neuron","전략 기반 서바이벌"
"14","(-7)","다잉 라이트 2: 스테이 휴먼","https://trees.gamemeca.com/dying_light_2_stay_human","Techland","액션"
"15","(-2)","FIFA 22","","Electronic Arts","스포츠"
"16","(-1)","몬스터 헌터 라이즈","","CAPCOM Co., Ltd.","헌팅 액션"
"17","(-)","호라이즌 제로 던 컴플리트 에디션","","PlayStation Mobile, Inc.","오픈월드 액션 RPG"
"18","(+2)","파피 플레이타임","https://trees.gamemeca.com/poppy_playtime","MOB Games","호러"
"19","(+2)","폴가이즈","","Devolver Digital","아케이드"
"20","(+2)","레드 데드 리뎀션 2","https://trees.gamemeca.com/reddeadredemption2","Rockstar Games","오픈월드"
"21","(-3)","프롭나이트","","MYTONA","생존 공포"
"22","(+1)","포르자 호라이즌 5","","Xbox Game Studios","오픈 월드 레이싱"
"23","(+1)","휴먼: 폴 플랫","https://trees.gamemeca.com/human_fall_flat","Curve Digital","퍼즐"
"24","(-5)","더 심즈 4","https://trees.gamemeca.com/The_Sims_4","Electronic Arts","시뮬레이션"
"25","(+5)","시티즈: 스카이 라인","https://trees.gamemeca.com/cities_skylines","Paradox Interactive","건설 시뮬레이션"
"26","(-1)","데드 바이 데이라이트","https://trees.gamemeca.com/dead_by_daylight","Behaviour Digital Inc.","액션"
"27","(-)","문명6","https://trees.gamemeca.com/sid_meiers_civilization_vi","2K","턴제 전략"
"28","(-)","하데스","","Supergiant Games","액션"
"29","(-)","레디오어낫","https://trees.gamemeca.com/ready_or_not","VOID Interactive","FPS"
"30","(+6)","더 킹 오브 파이터즈 15","https://trees.gamemeca.com/thekingoffightersxv","SNK CORPORATION","격투"
"31","(-)","토탈 워: 워해머 3","https://trees.gamemeca.com/totalwarwarhammer3","SEGA, Feral Interactive","대전략 게임"
"32","(NEW)","WWE 2k22","","2K","스포츠"
"33","(-)","어 댄스 오브 파이어 앤 아이스","","7th Beat Games","리듬"
"34","(-2)","더 포레스트","https://trees.gamemeca.com/the_forest","Endnight Games Ltd","서바이벌"
"35","(-)","삼국지14","","KOEI TECMO GAMES CO., LTD.","시뮬레이션"
"36","(-2)","테라리아","https://trees.gamemeca.com/terraria","Re-Logic","어드벤처"
"37","(+1)","올리올리 월드","","Private Division","스케이트보드 액션"
"38","(+2)","프로젝트 좀보이드","","The Indie Stone","RPG"
"39","(-2)","철권 7","https://trees.gamemeca.com/tekken_7","BANDAI NAMCO Entertainment","격투"
"40","(NEW)","세키로","","Activision (Excluding Japan and Asia)","액션"
