"column-1","column-1 2","column-2","column-3","column-4","column-2 href"
"1","(+1)","뱀파이어 서바이버즈","poncle","액션 로그라이트",""
"2","(-1)","플레이어언노운스 배틀그라운드","PUBG Corporation","서바이벌 슈팅","https://trees.gamemeca.com/battleground"
"3","(-)","구스 구스 덕","Gaggle Studios, Inc.","생존",""
"4","(-)","유희왕 마스터 듀얼","Konami Digital Entertainment","카드 전략",""
"5","(-)","어몽 어스","Innersloth","생존","https://trees.gamemeca.com/Among_Us"
"6","(+6)","다잉 라이트 2: 스테이 휴먼","Techland","액션",""
"7","(-)","엘든 링","FromSoftware Inc., BANDAI NAMCO Entertainment","오픈월드 액션 RPG",""
"8","(+2)","갓 오브 워","PlayStation PC LLC","액션 어드벤처",""
"9","(-3)","스타듀밸리","ConcernedApe","전원생활 시뮬레이션","https://trees.gamemeca.com/stardew_valley"
"10","(+1)","GTA 5","Rockstar Games","오픈월드 범죄 액션","https://trees.gamemeca.com/grand_theft_auto_v"
"11","(+2)","잇 테이크 투","Electronic Arts","액션",""
"12","(-4)","몬스터 헌터 라이즈","CAPCOM Co., Ltd.","헌팅 액션",""
"13","(+1)","풋볼 매니저 2022","SEGA","시뮬레이션",""
"14","(-5)","프롭나이트","MYTONA","생존 공포",""
"15","(-)","FIFA 22","Electronic Arts","스포츠",""
"16","(-)","폴가이즈","Devolver Digital","아케이드",""
"17","(-)","더 심즈 4","Electronic Arts","시뮬레이션","https://trees.gamemeca.com/The_Sims_4"
"18","(-)","이터널 리턴","Nimble Neuron","전략 기반 서바이벌",""
"19","(+1)","휴먼: 폴 플랫","Curve Digital","퍼즐","https://trees.gamemeca.com/human_fall_flat"
"20","(+1)","포르자 호라이즌 5","Xbox Game Studios","오픈 월드 레이싱",""
"21","(+1)","레드 데드 리뎀션 2","Rockstar Games","오픈월드","https://trees.gamemeca.com/reddeadredemption2"
"22","(-3)","파피 플레이타임","MOB Games","호러",""
"23","(+5)","다잉 라이트","Techland Publishing","액션","https://trees.gamemeca.com/dying_light"
"24","(-1)","데드 바이 데이라이트","Behaviour Digital Inc.","액션","https://trees.gamemeca.com/dead_by_daylight"
"25","(+2)","문명6","2K","턴제 전략","https://trees.gamemeca.com/sid_meiers_civilization_vi"
"26","(-1)","레디오어낫","VOID Interactive","FPS",""
"27","(-1)","하데스","Supergiant Games","액션",""
"28","(+1)","더 포레스트","Endnight Games Ltd","서바이벌","https://trees.gamemeca.com/the_forest"
"29","(+1)","테라리아","Re-Logic","어드벤처","https://trees.gamemeca.com/terraria"
"30","(-6)","슈퍼피플","Wonder Games","배틀로얄",""
"31","(-)","어 댄스 오브 파이어 앤 아이스","7th Beat Games","리듬",""
"32","(+6)","시티즈: 스카이 라인","Paradox Interactive","건설 시뮬레이션","https://trees.gamemeca.com/cities_skylines"
"33","(+2)","호라이즌 제로 던 컴플리트 에디션","PlayStation Mobile, Inc.","오픈월드 액션 RPG",""
"34","(-)","삼국지14","KOEI TECMO GAMES CO., LTD.","시뮬레이션",""
"35","(-2)","철권 7","BANDAI NAMCO Entertainment","격투","https://trees.gamemeca.com/tekken_7"
"36","(-4)","배틀필드 2042","Electronic Arts","FPS",""
"37","(-1)","아크: 서바이벌 이볼브드","Studio Wildcard","어드벤처","https://trees.gamemeca.com/arksurvival"
"38","(+1)","발하임","Coffee Stain Publishing","오픈 월드 생존 크래프트","https://trees.gamemeca.com/valheim"
"39","(-2)","그랜드 체이스","KOG","RPG",""
"40","(-)","슈퍼로봇대전 30","BANDAI NAMCO Entertainment","시뮬레이션 RPG",""
