"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(NEW)","리니지W","https://trees.gamemeca.com/lineagew","NCSOFT","롤플레잉"
"2","(-1)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"3","(-1)","오딘: 발할라 라이징","https://trees.gamemeca.com/odin","KAKAO GAMES CORP.","롤플레잉"
"4","(+1)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"5","(-2)","원신","https://trees.gamemeca.com/genshin","miHoYo Limited","어드벤처"
"6","(-2)","쿠키런: 킹덤","https://trees.gamemeca.com/cookierunkingdom","Devsisters Corporation","롤플레잉"
"7","(-)","심포니 오브 에픽","https://trees.gamemeca.com/soe","Moonton","전략"
"8","(-2)","제2의 나라","https://trees.gamemeca.com/2worlds","Netmarble","롤플레잉"
"9","(-1)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"10","(-1)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"11","(+1)","미르4","https://trees.gamemeca.com/mir4","Wemade Co., Ltd","롤플레잉"
"12","(-1)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"13","(-3)","아르미스","https://trees.gamemeca.com/armiskr","Netease Games Global","롤플레잉"
"14","(+4)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"15","(-2)","블레이드&소울2","https://trees.gamemeca.com/bns219","NCSOFT","롤플레잉"
"16","(-2)","세븐나이츠2","https://trees.gamemeca.com/sevenknights2","Netmarble","롤플레잉"
"17","(+2)","인투더던전","https://trees.gamemeca.com/intothedungeon","CRAZYMIND Corp.","롤플레잉"
"18","(-3)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"19","(-3)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"20","(-3)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"21","(-1)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"22","(-)","리그 오브 레전드: 와일드 리프트","https://trees.gamemeca.com/wildrift","Riot Games, Inc","전략"
"23","(+1)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"24","(+5)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"25","(-)","마블 퓨처 레볼루션","https://trees.gamemeca.com/marvelfr","Netmarble","롤플레잉"
"26","(-3)","삼국지 전략판","https://trees.gamemeca.com/sgzzlb","Qookka Games","전략"
"27","(-)","달빛조각사","https://trees.gamemeca.com/moonlight","Kakao Games Corp.","롤플레잉"
"28","(-)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"29","(+1)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"30","(-9)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"31","(-5)","미니어스: 작지만 놀라운 모험","https://trees.gamemeca.com/figuregp","BILIBILI","롤플레잉"
"32","(+1)","A3: 스틸얼라이브","https://trees.gamemeca.com/a3","Netmarble","롤플레잉"
"33","(NEW)","배틀그라운드 모바일","https://trees.gamemeca.com/battlem","PUBG CORPORATION","액션"
"34","(-3)","풋볼 마스터 2","https://trees.gamemeca.com/fm2","GALA Sports","스포츠"
"35","(-3)","뮤 아크엔젤2","https://trees.gamemeca.com/mua2","Webzen Inc.","롤플레잉"
"36","(-)","제5인격","https://trees.gamemeca.com/id5","X.D. Global","어드벤처"
"37","(-3)","히어로즈 테일즈","https://trees.gamemeca.com/heroestales","37 MOBILE GAMES","롤플레잉"
"38","(-)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"39","(-2)","슬램덩크","https://trees.gamemeca.com/slamdunkmobile","DeNA HONG KONG LIMITED","스포츠"
"40","(NEW)","그랑사가","https://trees.gamemeca.com/gransaga","NPIXEL","롤플레잉"
