"column-1","column-1 2","column-2 href","rankimg src","column-3","column-4","column-5"
"1","(-)","https://trees.gamemeca.com/leagueoflegends","https://trees.gamemeca.com/data/monthlyrank/pc/leagueoflegends.png","리그 오브 레전드","라이엇 게임즈","MOBA"
"2","(+1)","https://trees.gamemeca.com/maplestory","https://trees.gamemeca.com/data/monthlyrank/pc/maplestory.png","메이플스토리","㈜넥슨코리아","MMORPG"
"3","(-1)","https://trees.gamemeca.com/poe","https://trees.gamemeca.com/data/monthlyrank/pc/poe.png","패스 오브 엑자일","㈜카카오게임즈","ARPG"
"4","(-)","https://trees.gamemeca.com/fifaonline4","https://trees.gamemeca.com/data/monthlyrank/pc/fifaonline4.png","피파온라인4","㈜넥슨코리아","스포츠"
"5","(-)","https://trees.gamemeca.com/df","https://trees.gamemeca.com/data/monthlyrank/pc/df.png","던전앤파이터","㈜넥슨코리아","벨트 스크롤 액션 RPG"
"6","(-)","https://trees.gamemeca.com/lostark","https://trees.gamemeca.com/data/monthlyrank/pc/lostark.png","로스트아크","㈜스마일게이트알피지","핵앤슬래시 MMORPG"
"7","(-)","https://trees.gamemeca.com/kartrider","https://trees.gamemeca.com/data/monthlyrank/pc/kartrider.png","카트라이더","㈜넥슨코리아","레이싱"
"8","(+1)","https://trees.gamemeca.com/battleground","https://trees.gamemeca.com/data/monthlyrank/pc/battleground.png","배틀그라운드","펍지주식회사","서바이벌 슈팅"
"9","(-1)","https://trees.gamemeca.com/black_desert","https://trees.gamemeca.com/data/monthlyrank/pc/black_desert.png","검은사막","㈜펄어비스","MMORPG"
"10","(+2)","https://trees.gamemeca.com/minecraft","https://trees.gamemeca.com/data/monthlyrank/pc/minecraft.png","마인크래프트","엑스박스 게임 스튜디오","샌드박스"
"11","(-1)","https://trees.gamemeca.com/playoverwatch","https://trees.gamemeca.com/data/monthlyrank/pc/playoverwatch.png","오버워치","블리자드 엔터테인먼트","팀 기반 슈팅"
"12","(-1)","https://trees.gamemeca.com/gersang","https://trees.gamemeca.com/data/monthlyrank/pc/gersang.png","천하제일상 거상","㈜에이케이인터렉티브","MMORPG"
"13","(-)","https://trees.gamemeca.com/lineageon","https://trees.gamemeca.com/data/monthlyrank/pc/lineageon.png","리니지","㈜엔씨소프트","MMORPG"
"14","(+2)","https://trees.gamemeca.com/suddenattack","https://trees.gamemeca.com/data/monthlyrank/pc/suddenattack.png","서든어택","㈜넥슨코리아","FPS"
"15","(-)","https://trees.gamemeca.com/archeageon","https://trees.gamemeca.com/data/monthlyrank/pc/archeageon.png","아키에이지","㈜엑스엘게임즈","판타지 RPG"
"16","(-2)","https://trees.gamemeca.com/bns","https://trees.gamemeca.com/data/monthlyrank/pc/bns.png","블레이드앤소울","㈜엔씨소프트","MMORPG"
"17","(-)","https://trees.gamemeca.com/cyphers","https://trees.gamemeca.com/data/monthlyrank/pc/cyphers.png","사이퍼즈","㈜넥슨코리아","액션"
"18","(-)","https://trees.gamemeca.com/talesrunner","https://trees.gamemeca.com/data/monthlyrank/pc/talesrunner.png","테일즈런너","㈜스마일게이트메가포트","레이싱"
"19","(-)","https://trees.gamemeca.com/dota2","https://trees.gamemeca.com/data/monthlyrank/pc/dota2.png","도타2 (오토체스)","밸브 코퍼레이션","MOBA"
"20","(-)","https://trees.gamemeca.com/aion","https://trees.gamemeca.com/data/monthlyrank/pc/aion.png","아이온: 영원의 탑","㈜엔씨소프트","MMORPG"
"21","(+1)","https://trees.gamemeca.com/teraon","https://trees.gamemeca.com/data/monthlyrank/pc/teraon.png","테라","㈜넥슨코리아","MMORPG"
"22","(+1)","https://trees.gamemeca.com/cabnb","https://trees.gamemeca.com/data/monthlyrank/pc/cabnb.png","크레이지 아케이드 비엔비","㈜넥슨코리아","아케이드"
"23","(-2)","https://trees.gamemeca.com/elsword","https://trees.gamemeca.com/data/monthlyrank/pc/elsword.png","엘소드","㈜넥슨코리아","횡스크롤 액션 MMORPG"
"24","(-)","https://trees.gamemeca.com/mabinogi","https://trees.gamemeca.com/data/monthlyrank/pc/mabinogi.png","마비노기","㈜넥슨코리아","MMORPG"
"25","(+1)","https://trees.gamemeca.com/baram","https://trees.gamemeca.com/data/monthlyrank/pc/baram.png","바람의나라","㈜넥슨코리아","MMORPG"
"26","(-1)","https://trees.gamemeca.com/lineageonii","https://trees.gamemeca.com/data/monthlyrank/pc/lineageonii.png","리니지2","㈜엔씨소프트","MMORPG"
"27","(+3)","https://trees.gamemeca.com/mabinogi_heroes","https://trees.gamemeca.com/data/monthlyrank/pc/mabinogi_heroes.png","마비노기 영웅전","㈜넥슨코리아","액션 RPG"
"28","(+1)","https://trees.gamemeca.com/ff14","https://trees.gamemeca.com/data/monthlyrank/pc/ff14.png","파이널 판타지 14","㈜액토즈소프트","MMORPG"
"29","(-2)","https://trees.gamemeca.com/monster_hunter_world","https://trees.gamemeca.com/data/monthlyrank/pc/monster_hunter_world.png","몬스터헌터 월드","캡콤","액션 RPG"
"30","(new)","https://trees.gamemeca.com/latalepc","https://trees.gamemeca.com/data/monthlyrank/pc/latalepc.png","라테일","(주)액토즈소프트","MMORPG"
"31","(new)","https://trees.gamemeca.com/closers","https://trees.gamemeca.com/data/monthlyrank/pc/closers.png","클로저스","(주)넥슨코리아","벨트스크롤 액션"
