,index_num,num_week,Unnamed: 0,rank,name,genre,genre_share,pc_room_num,total_time_hour,mean_time_min,total_use_num,distributor,week_num
0,0,0,0,1,배틀그라운드,FPS,70.89,"9,407","11,407,612",92.0,"7,464,234",카카오/스팀,285
1,1,0,2,2,리그 오브 레전드,RTS,86.69,"9,524","6,938,099",94.0,"4,448,793",라이엇게임즈,285
2,2,0,4,3,오버워치,FPS,19.23,"9,430","3,094,425",74.0,"2,521,406",블리자드,285
3,3,0,6,4,서든어택,FPS,8.31,"9,326","1,335,868",68.0,"1,182,326",넥슨,285
4,4,0,8,5,던전앤파이터,액션,70.33,"8,899","816,895",83.0,"580,764",넥슨,285
5,5,0,10,6,스타크래프트 리마스터,RTS,8.95,"9,086","716,051",70.0,"617,973",블리자드,285
6,6,0,12,7,메이플스토리,RPG,22.76,"8,743","661,255",83.0,"482,497",넥슨,285
7,7,0,14,8,리니지,RPG,11.51,"5,730","334,189",121.0,"165,683",엔씨소프트,285
8,8,0,16,9,월드 오브 워크래프트,RPG,9.55,"5,726","277,312",127.0,"131,808",블리자드,285
9,9,0,18,10,디아블로3,RPG,9.36,"6,478","271,875",114.0,"144,391",블리자드,285
10,10,0,20,11,블레이드 & 소울,RPG,7.59,"5,452","220,442",107.0,"123,541",엔씨소프트,285
11,11,0,22,12,검은사막,RPG,6.95,"5,484","201,885",106.0,"116,272",(주)펄어비스,285
12,12,0,24,13,카트라이더,레이싱,60.18,"7,862","176,532",37.0,"291,409",넥슨,285
13,13,0,26,14,사이퍼즈,액션,14.94,"5,097","173,511",112.0,"92,762",넥슨,285
14,14,0,28,15,워크래프트3 리포지드,RTS,1.6,"3,982","127,909",83.0,"92,691",블리자드,285
15,15,0,30,16,아이온,RPG,4.17,"3,742","120,948",100.0,"73,014",엔씨소프트,285
16,16,0,32,17,히어로즈 오브 더 스톰,RTS,1.26,"3,208","100,505",86.0,"70,605",블리자드,285
17,17,0,34,18,테라,RPG,3.06,"2,858","88,766",97.0,"54,948",넥슨,285
18,18,0,36,19,테일즈런너,스포츠,4.53,"4,974","85,679",44.0,"118,644",스마일게이트,285
19,19,0,38,20,파이널판타지14,RPG,2.66,"2,358","77,104",151.0,"30,771",액토즈소프트,285
20,20,0,40,21,GTA 5,액션,6.57,"2,402","76,210",74.0,"61,924",스팀,285
21,21,0,42,22,한게임 로우바둑이,보드,14.53,"3,552","72,773",27.0,"164,514",한게임,285
22,22,0,44,23,엘소드,RPG,2.47,"3,802","71,599",68.0,"63,000",넥슨,285
23,23,0,46,24,크레이지아케이드,아케이드,64.94,"5,160","71,178",30.0,"146,174",넥슨,285
24,24,0,48,25,스페셜포스,FPS,0.44,"2,741","69,702",99.0,"42,310",네오위즈,285
25,25,0,50,26,스타크래프트2,RTS,0.85,"3,065","67,270",76.0,"53,607",블리자드,285
26,26,0,52,27,하스스톤,보드,12.67,"5,011","63,429",43.0,"90,331",블리자드,285
27,27,0,54,28,카운터-스트라이크 온라인,FPS,0.39,"5,064","62,132",34.0,"112,365",넥슨,285
28,28,0,56,29,클로저스,액션,4.77,"3,120","55,314",72.0,"46,200",넥슨,285
29,29,0,58,30,리니지2,RPG,1.63,"1,763","47,231",148.0,"19,211",엔씨소프트,285
30,30,0,0,1,배틀그라운드,FPS,71.49,"9,408","13,105,093",91.0,"8,719,927",카카오/스팀,284
31,31,0,2,2,리그 오브 레전드,RTS,86.59,"9,530","7,842,504",94.0,"5,013,091",라이엇게임즈,284
32,32,0,4,3,오버워치,FPS,18.65,"9,436","3,417,461",73.0,"2,838,613",블리자드,284
33,33,0,6,4,서든어택,FPS,8.35,"9,324","1,530,348",70.0,"1,328,259",넥슨,284
34,34,0,8,5,던전앤파이터,액션,71.45,"8,793","913,146",85.0,"634,651",넥슨,284
35,35,0,10,6,스타크래프트 리마스터,RTS,9.01,"9,043","815,227",71.0,"695,264",블리자드,284
36,36,0,12,7,메이플스토리,RPG,22.61,"8,598","738,289",86.0,"517,750",넥슨,284
37,37,0,14,8,리니지,RPG,11.95,"5,702","390,052",123.0,"190,621",엔씨소프트,284
38,38,0,16,9,월드 오브 워크래프트,RPG,9.66,"5,679","315,482",126.0,"150,470",블리자드,284
39,39,0,18,10,디아블로3,RPG,9.02,"6,322","294,445",114.0,"155,765",블리자드,284
40,40,0,20,11,블레이드 & 소울,RPG,7.64,"5,328","249,358",108.0,"138,489",엔씨소프트,284
41,41,0,22,12,검은사막,RPG,6.97,"5,247","227,621",114.0,"119,560",(주)펄어비스,284
42,42,0,24,13,카트라이더,레이싱,63.19,"7,885","203,577",36.0,"340,024",넥슨,284
43,43,0,26,14,사이퍼즈,액션,15.02,"4,944","191,906",113.0,"101,777",넥슨,284
44,44,0,28,15,워크래프트3 리포지드,RTS,1.57,"3,859","141,406",85.0,"100,834",블리자드,284
45,45,0,30,16,아이온,RPG,4.02,"3,712","131,113",97.0,"81,554",엔씨소프트,284
46,46,0,32,17,히어로즈 오브 더 스톰,RTS,1.33,"3,247","119,914",86.0,"83,510",블리자드,284
47,47,0,34,18,테라,RPG,3.24,"2,970","105,822",94.0,"67,820",넥슨,284
48,48,0,36,19,테일즈런너,스포츠,4.69,"4,861","94,264",43.0,"133,199",스마일게이트,284
49,49,0,38,20,스페셜포스,FPS,0.46,"2,803","82,507",102.0,"49,008",네오위즈,284
50,50,0,40,21,파이널판타지14,RPG,2.5,"2,254","81,334",147.0,"33,130",액토즈소프트,284
51,51,0,42,22,크레이지아케이드,아케이드,63.89,"5,157","81,250",30.0,"163,680",넥슨,284
52,52,0,44,23,한게임 로우바둑이,보드,13.98,"3,406","79,165",28.0,"174,840",한게임,284
53,53,0,46,24,스타크래프트2,RTS,0.83,"3,010","74,886",76.0,"59,766",블리자드,284
54,54,0,48,25,GTA 5,액션,5.74,"2,167","73,298",74.0,"60,086",스팀,284
55,55,0,50,26,하스스톤,보드,12.26,"4,790","69,428",44.0,"95,490",블리자드,284
56,56,0,52,27,엘소드,RPG,1.95,"3,225","63,458",70.0,"54,437",넥슨,284
57,57,0,54,28,클로저스,액션,4.46,"2,818","56,934",70.0,"48,238",넥슨,284
58,58,0,56,29,아키에이지,RPG,1.69,"1,521","55,051",65.0,"50,906",넥슨,284
59,59,0,58,30,리니지2,RPG,1.66,"1,745","53,979",148.0,"22,011",엔씨소프트,284
60,60,0,0,1,배틀그라운드,FPS,73.25,"9,421","13,520,589",94.0,"8,656,803",카카오/스팀,283
61,61,0,2,2,리그 오브 레전드,RTS,88.31,"9,529","8,874,151",98.0,"5,442,532",라이엇게임즈,283
62,62,0,4,3,오버워치,FPS,17.54,"9,440","3,237,697",74.0,"2,649,799",블리자드,283
63,63,0,6,4,서든어택,FPS,7.81,"9,307","1,440,273",70.0,"1,244,722",넥슨,283
64,64,0,8,5,던전앤파이터,액션,75.93,"8,933","1,071,074",90.0,"702,218",넥슨,283
65,65,0,10,6,스타크래프트 리마스터,RTS,7.74,"8,991","777,505",70.0,"669,987",블리자드,283
66,66,0,12,7,메이플스토리,RPG,22.34,"8,505","726,498",88.0,"495,056",넥슨,283
67,67,0,14,8,리니지,RPG,11.38,"5,675","370,065",123.0,"182,017",엔씨소프트,283
68,68,0,16,9,월드 오브 워크래프트,RPG,9.45,"5,617","307,238",125.0,"148,246",블리자드,283
69,69,0,18,10,디아블로3,RPG,8.03,"6,021","260,954",112.0,"141,053",블리자드,283
70,70,0,20,11,블레이드 & 소울,RPG,7.25,"5,336","235,488",105.0,"135,044",엔씨소프트,283
71,71,0,22,12,아이온,RPG,7.17,"4,933","233,168",87.0,"163,510",엔씨소프트,283
72,72,0,24,13,검은사막,RPG,7.17,"5,298","232,946",117.0,"119,945",(주)펄어비스,283
73,73,0,26,14,카트라이더,레이싱,66.84,"7,781","187,392",36.0,"312,918",넥슨,283
74,74,0,28,15,사이퍼즈,액션,13.12,"4,940","185,022",110.0,"100,597",넥슨,283
75,75,0,30,16,워크래프트3 리포지드,RTS,1.3,"3,678","129,993",85.0,"92,674",블리자드,283
76,76,0,32,17,히어로즈 오브 더 스톰,RTS,1.25,"3,235","125,174",91.0,"83,218",블리자드,283
77,77,0,34,18,테라,RPG,3.03,"2,746","98,501",92.0,"64,580",넥슨,283
78,78,0,36,19,테일즈런너,스포츠,5.02,"4,879","95,777",40.0,"146,983",스마일게이트,283
79,79,0,38,20,파이널판타지14,RPG,2.54,"2,268","82,512",148.0,"33,661",액토즈소프트,283
80,80,0,40,21,크레이지아케이드,아케이드,63.33,"4,997","77,891",31.0,"154,183",넥슨,283
81,81,0,42,22,스페셜포스,FPS,0.42,"2,746","76,877",97.0,"47,777",네오위즈,283
82,82,0,44,23,스타크래프트2,RTS,0.73,"2,947","73,159",77.0,"57,782",블리자드,283
83,83,0,46,24,한게임 로우바둑이,보드,13.42,"3,345","72,663",27.0,"161,926",한게임,283
84,84,0,48,25,하스스톤,보드,11.68,"4,570","63,282",44.0,"87,008",블리자드,283
85,85,0,50,26,GTA 5,액션,4.11,"1,962","57,970",74.0,"46,897",스팀,283
86,86,0,52,27,클로저스,액션,3.92,"2,707","55,296",74.0,"44,450",넥슨,283
87,87,0,54,28,엘소드,RPG,1.64,"2,770","53,068",72.0,"44,428",넥슨,283
88,88,0,56,29,리니지2,RPG,1.64,"1,766","53,026",140.0,"22,707",엔씨소프트,283
89,89,0,58,30,아키에이지,RPG,1.62,"1,457","52,609",65.0,"49,019",넥슨,283
90,90,0,0,1,배틀그라운드,FPS,73.48,"9,441","13,802,260",87.0,"9,721,847",카카오/스팀,282
91,91,0,2,2,리그 오브 레전드,RTS,88.79,"9,553","9,063,641",96.0,"5,675,942",라이엇게임즈,282
92,92,0,4,3,오버워치,FPS,17.41,"9,434","3,269,174",72.0,"2,728,204",블리자드,282
93,93,0,6,4,서든어택,FPS,7.71,"9,317","1,447,023",69.0,"1,267,026",넥슨,282
94,94,0,8,5,던전앤파이터,액션,78.83,"8,984","1,143,481",90.0,"751,815",넥슨,282
95,95,0,10,6,스타크래프트 리마스터,RTS,7.49,"8,995","763,890",70.0,"665,169",블리자드,282
96,96,0,12,7,메이플스토리,RPG,21.75,"8,495","753,361",90.0,"501,409",넥슨,282
97,97,0,14,8,리니지,RPG,10.65,"5,637","368,696",122.0,"181,585",엔씨소프트,282
98,98,0,16,9,아이온,RPG,9.76,"5,807","337,826",84.0,"244,780",엔씨소프트,282
99,99,0,18,10,월드 오브 워크래프트,RPG,8.74,"5,549","302,638",126.0,"144,335",블리자드,282
100,100,0,20,11,블레이드 & 소울,RPG,6.97,"5,252","241,428",106.0,"136,074",엔씨소프트,282
101,101,0,22,12,디아블로3,RPG,6.95,"5,826","240,696",111.0,"131,067",블리자드,282
102,102,0,24,13,검은사막,RPG,6.19,"5,114","214,239",118.0,"109,214",(주)펄어비스,282
103,103,0,26,14,카트라이더,레이싱,71.54,"7,810","191,256",36.0,"322,939",넥슨,282
104,104,0,28,15,사이퍼즈,액션,11.67,"4,721","169,228",108.0,"93,949",넥슨,282
105,105,0,30,16,천애명월도,RPG,4.1,"6,148","141,785",110.0,"77,238",넥슨,282
106,106,0,32,17,워크래프트3 리포지드,RTS,1.24,"3,681","126,411",84.0,"91,555",블리자드,282
107,107,0,34,18,히어로즈 오브 더 스톰,RTS,1.14,"3,122","116,279",89.0,"78,625",블리자드,282
108,108,0,36,19,테일즈런너,스포츠,5.54,"4,931","96,621",42.0,"139,806",스마일게이트,282
109,109,0,38,20,테라,RPG,2.71,"2,582","93,660",91.0,"62,254",넥슨,282
110,110,0,40,21,크레이지아케이드,아케이드,64.59,"5,109","84,325",31.0,"164,957",넥슨,282
111,111,0,42,22,스페셜포스,FPS,0.43,"2,796","79,841",98.0,"49,248",네오위즈,282
112,112,0,44,23,파이널판타지14,RPG,2.19,"2,116","75,723",149.0,"30,549",액토즈소프트,282
113,113,0,46,24,한게임 로우바둑이,보드,13.24,"3,282","72,267",28.0,"156,660",한게임,282
114,114,0,48,25,스타크래프트2,RTS,0.71,"2,891","71,548",77.0,"56,502",블리자드,282
115,115,0,50,26,하스스톤,보드,11.59,"4,599","63,222",44.0,"87,696",블리자드,282
116,116,0,52,27,리니지2,RPG,1.56,"1,772","53,746",142.0,"22,721",엔씨소프트,282
117,117,0,54,28,엘소드,RPG,1.51,"2,639","52,178",74.0,"42,101",넥슨,282
118,118,0,56,29,GTA 5,액션,3.42,"1,858","49,482",69.0,"43,371",스팀,282
119,119,0,58,30,버블파이터,슈팅,82.45,"3,033","48,841",50.0,"58,819",넥슨,282
120,120,0,0,1,배틀그라운드,FPS,75.33,"9,473","8,523,500",83.0,"6,218,599",카카오/스팀,281
121,121,0,2,2,리그 오브 레전드,RTS,88.84,"9,567","5,024,415",94.0,"3,263,138",라이엇게임즈,281
122,122,0,4,3,오버워치,FPS,16.0,"9,456","1,810,072",72.0,"1,508,757",블리자드,281
123,123,0,6,4,서든어택,FPS,7.42,"9,329","838,687",70.0,"718,263",넥슨,281
124,124,0,8,5,던전앤파이터,액션,78.58,"8,954","610,003",90.0,"402,724",넥슨,281
125,125,0,10,6,메이플스토리,RPG,22.09,"8,583","456,714",93.0,"296,242",넥슨,281
126,126,0,12,7,스타크래프트 리마스터,RTS,7.49,"8,973","423,183",71.0,"360,389",블리자드,281
127,127,0,14,8,천애명월도,RPG,10.57,"6,440","218,383",120.0,"109,421",넥슨,281
128,128,0,16,9,리니지,RPG,9.72,"5,554","200,921",117.0,"104,062",엔씨소프트,281
129,129,0,18,10,아이온,RPG,8.49,"5,395","175,433",82.0,"128,568",엔씨소프트,281
130,130,0,20,11,월드 오브 워크래프트,RPG,7.81,"5,339","161,447",127.0,"76,611",블리자드,281
131,131,0,22,12,블레이드 & 소울,RPG,6.46,"5,056","133,387",108.0,"72,625",엔씨소프트,281
132,132,0,24,13,디아블로3,RPG,5.84,"5,540","120,690",111.0,"65,611",블리자드,281
133,133,0,26,14,검은사막,RPG,5.58,"4,917","115,193",121.0,"57,169",(주)펄어비스,281
134,134,0,28,15,카트라이더,레이싱,75.72,"7,728","108,948",36.0,"183,378",넥슨,281
135,135,0,30,16,사이퍼즈,액션,12.18,"4,624","94,490",112.0,"50,677",넥슨,281
136,136,0,32,17,워크래프트3 리포지드,RTS,1.23,"3,560","69,227",86.0,"48,688",블리자드,281
137,137,0,34,18,히어로즈 오브 더 스톰,RTS,1.12,"3,109","62,926",89.0,"42,647",블리자드,281
138,138,0,36,19,테일즈런너,스포츠,5.92,"4,865","54,959",42.0,"79,141",스마일게이트,281
139,139,0,38,20,크레이지아케이드,아케이드,64.49,"5,161","49,799",30.0,"100,047",넥슨,281
140,140,0,40,21,테라,RPG,2.32,"2,437","47,853",88.0,"32,687",넥슨,281
141,141,0,42,22,스페셜포스,FPS,0.42,"2,690","46,646",101.0,"27,754",네오위즈,281
142,142,0,44,23,한게임 로우바둑이,보드,13.32,"3,158","40,739",29.0,"86,699",한게임,281
143,143,0,46,24,스타크래프트2,RTS,0.72,"2,882","40,280",78.0,"30,934",블리자드,281
144,144,0,48,25,파이널판타지14,RPG,1.91,"1,987","39,355",143.0,"16,365",액토즈소프트,281
145,145,0,50,26,하스스톤,보드,11.14,"4,397","34,071",45.0,"46,550",블리자드,281
146,146,0,52,27,리니지2,RPG,1.45,"1,713","29,906",139.0,"12,926",엔씨소프트,281
147,147,0,54,28,엘소드,RPG,1.44,"2,682","29,572",73.0,"24,230",넥슨,281
148,148,0,56,29,버블파이터,슈팅,82.48,"2,967","27,152",52.0,"31,486",넥슨,281
149,149,0,58,30,DK온라인,RPG,1.29,570,"26,612",221.0,"7,252",마상소프트,281
150,150,0,0,1,배틀그라운드,FPS,74.53,"9,468","6,361,920",73.0,"5,257,136",카카오/스팀,280
151,151,0,2,2,리그 오브 레전드,RTS,89.12,"9,562","4,114,275",96.0,"2,573,789",라이엇게임즈,280
152,152,0,4,3,오버워치,FPS,16.74,"9,450","1,428,696",69.0,"1,246,860",블리자드,280
153,153,0,6,4,서든어택,FPS,7.5,"9,358","639,735",66.0,"587,002",넥슨,280
154,154,0,8,5,던전앤파이터,액션,77.67,"8,932","456,459",88.0,"300,675",넥슨,280
155,155,0,10,6,스타크래프트 리마스터,RTS,7.35,"9,046","339,062",69.0,"297,273",블리자드,280
156,156,0,12,7,메이플스토리,RPG,19.82,"8,614","296,657",80.0,"222,022",넥슨,280
157,157,0,14,8,천애명월도,RPG,11.82,"6,756","176,897",112.0,"95,660",넥슨,280
158,158,0,16,9,리니지,RPG,10.61,"5,881","158,818",103.0,"92,736",엔씨소프트,280
159,159,0,18,10,월드 오브 워크래프트,RPG,8.59,"5,650","128,465",121.0,"63,775",블리자드,280
160,160,0,20,11,아이온,RPG,7.14,"5,092","106,840",74.0,"86,557",엔씨소프트,280
161,161,0,22,12,카트라이더,레이싱,77.43,"7,951","90,138",35.0,"156,177",넥슨,280
162,162,0,24,13,블레이드 & 소울,RPG,5.88,"5,018","88,022",98.0,"53,188",엔씨소프트,280
163,163,0,26,14,디아블로3,RPG,5.66,"5,519","84,714",104.0,"49,081",블리자드,280
164,164,0,28,15,검은사막,RPG,5.39,"4,929","80,652",108.0,"44,868",(주)펄어비스,280
165,165,0,30,16,사이퍼즈,액션,12.36,"4,773","72,599",105.0,"41,744",넥슨,280
166,166,0,32,17,워크래프트3 리포지드,RTS,1.15,"3,719","52,994",81.0,"39,321",블리자드,280
167,167,0,34,18,히어로즈 오브 더 스톰,RTS,1.13,"3,204","52,065",86.0,"36,306",블리자드,280
168,168,0,36,19,테일즈런너,스포츠,5.97,"5,137","44,554",40.0,"67,181",스마일게이트,280
169,169,0,38,20,한게임 로우바둑이,보드,16.59,"3,862","43,394",27.0,"98,708",한게임,280
170,170,0,40,21,크레이지아케이드,아케이드,67.44,"5,435","40,987",30.0,"84,535",넥슨,280
171,171,0,42,22,파이널판타지14,RPG,2.45,"2,247","36,617",148.0,"14,888",액토즈소프트,280
172,172,0,44,23,스페셜포스,FPS,0.41,"2,914","34,870",95.0,"21,996",네오위즈,280
173,173,0,46,24,테라,RPG,2.26,"2,438","33,753",84.0,"24,292",넥슨,280
174,174,0,48,25,스타크래프트2,RTS,0.71,"2,986","32,358",73.0,"26,866",블리자드,280
175,175,0,50,26,하스스톤,보드,11.19,"4,872","29,265",42.0,"42,296",블리자드,280
176,176,0,52,27,리니지2,RPG,1.49,"1,814","22,294",124.0,"10,883",엔씨소프트,280
177,177,0,54,28,클로저스,액션,3.65,"2,594","21,400",70.0,"17,966",넥슨,280
178,178,0,56,29,엘소드,RPG,1.43,"2,687","21,386",72.0,"17,802",넥슨,280
179,179,0,58,30,버블파이터,슈팅,81.58,"3,285","21,076",46.0,"27,532",넥슨,280
180,180,0,0,1,배틀그라운드,FPS,75.52,"9,445","15,569,706",77.0,"12,154,534",카카오/스팀,279
181,181,0,2,2,리그 오브 레전드,RTS,89.58,"9,531","9,678,182",96.0,"6,098,684",라이엇게임즈,279
182,182,0,4,3,오버워치,FPS,15.98,"9,413","3,293,823",69.0,"2,882,203",블리자드,279
183,183,0,6,4,서든어택,FPS,7.36,"9,321","1,516,466",67.0,"1,385,791",넥슨,279
184,184,0,8,5,던전앤파이터,액션,76.86,"8,909","1,036,639",90.0,"678,319",넥슨,279
185,185,0,10,6,스타크래프트 리마스터,RTS,6.91,"8,983","745,823",70.0,"649,645",블리자드,279
186,186,0,12,7,메이플스토리,RPG,20.68,"8,637","727,227",81.0,"535,593",넥슨,279
187,187,0,14,8,천애명월도,RPG,12.35,"6,740","434,101",116.0,"226,150",넥슨,279
188,188,0,16,9,리니지,RPG,11.67,"6,049","410,415",114.0,"216,725",엔씨소프트,279
189,189,0,18,10,월드 오브 워크래프트,RPG,8.01,"5,379","281,502",126.0,"134,145",블리자드,279
190,190,0,20,11,아이온,RPG,7.13,"4,924","250,717",80.0,"188,885",엔씨소프트,279
191,191,0,22,12,카트라이더,레이싱,79.75,"7,980","213,842",35.0,"376,201",넥슨,279
192,192,0,24,13,블레이드 & 소울,RPG,5.92,"4,960","207,978",103.0,"121,117",엔씨소프트,279
193,193,0,26,14,디아블로3,RPG,5.06,"5,228","177,716",104.0,"102,634",블리자드,279
194,194,0,28,15,검은사막,RPG,4.99,"4,724","175,235",110.0,"95,658",(주)펄어비스,279
195,195,0,30,16,사이퍼즈,액션,12.49,"4,680","168,430",109.0,"92,880",넥슨,279
196,196,0,32,17,히어로즈 오브 더 스톰,RTS,1.14,"3,233","123,078",86.0,"87,019",블리자드,279
197,197,0,34,18,워크래프트3 리포지드,RTS,1.14,"3,641","122,826",84.0,"88,287",블리자드,279
198,198,0,36,19,크레이지아케이드,아케이드,67.64,"5,560","100,511",30.0,"208,152",넥슨,279
199,199,0,38,20,테일즈런너,스포츠,6.32,"5,142","99,610",40.0,"152,131",스마일게이트,279
200,200,0,40,21,한게임 로우바둑이,보드,14.95,"3,482","84,902",28.0,"187,382",한게임,279
201,201,0,42,22,파이널판타지14,RPG,2.3,"2,185","80,838",146.0,"33,199",액토즈소프트,279
202,202,0,44,23,스페셜포스,FPS,0.38,"2,715","76,368",96.0,"48,830",네오위즈,279
203,203,0,46,24,테라,RPG,2.11,"2,270","74,060",86.0,"51,892",넥슨,279
204,204,0,48,25,스타크래프트2,RTS,0.67,"2,999","72,105",73.0,"60,315",블리자드,279
205,205,0,50,26,하스스톤,보드,12.52,"4,896","71,126",42.0,"102,535",블리자드,279
206,206,0,52,27,엘소드,RPG,1.91,"3,015","66,980",72.0,"56,307",넥슨,279
207,207,0,54,28,클로저스,액션,4.34,"2,821","58,476",71.0,"48,685",넥슨,279
208,208,0,56,29,리니지2,RPG,1.52,"1,747","53,161",139.0,"23,081",엔씨소프트,279
209,209,0,58,30,버블파이터,슈팅,81.35,"3,131","46,871",42.0,"69,954",넥슨,279
210,210,0,0,1,배틀그라운드,FPS,77.41,"9,369","17,176,690",77.0,"13,515,315",카카오/스팀,278
211,211,0,2,2,리그 오브 레전드,RTS,88.23,"9,442","10,362,378",98.0,"6,339,546",라이엇게임즈,278
212,212,0,4,3,오버워치,FPS,14.41,"9,342","3,195,511",70.0,"2,757,164",블리자드,278
213,213,0,6,4,서든어택,FPS,6.95,"9,259","1,540,350",67.0,"1,397,792",넥슨,278
214,214,0,8,5,던전앤파이터,액션,77.25,"8,976","1,185,010",88.0,"810,217",넥슨,278
215,215,0,10,6,스타크래프트 리마스터,RTS,7.78,"9,018","912,671",68.0,"812,695",블리자드,278
216,216,0,12,7,메이플스토리,RPG,22.04,"8,660","879,772",95.0,"560,025",넥슨,278
217,217,0,14,8,천애명월도,RPG,12.51,"7,018","499,293",108.0,"281,073",넥슨,278
218,218,0,16,9,리니지,RPG,11.86,"6,197","473,569",117.0,"244,164",엔씨소프트,278
219,219,0,18,10,월드 오브 워크래프트,RPG,7.6,"5,644","303,212",122.0,"150,044",블리자드,278
220,220,0,20,11,아이온,RPG,6.76,"5,119","269,571",85.0,"190,696",엔씨소프트,278
221,221,0,22,12,블레이드 & 소울,RPG,5.55,"5,168","221,296",103.0,"129,051",엔씨소프트,278
222,222,0,24,13,카트라이더,레이싱,79.64,"8,121","220,612",35.0,"380,784",넥슨,278
223,223,0,26,14,디아블로3,RPG,5.04,"5,685","201,059",100.0,"121,710",블리자드,278
224,224,0,28,15,검은사막,RPG,5.04,"5,079","200,894",110.0,"109,945",(주)펄어비스,278
225,225,0,30,16,사이퍼즈,액션,12.88,"5,101","197,507",109.0,"108,963",넥슨,278
226,226,0,32,17,워크래프트3 리포지드,RTS,1.46,"4,270","171,139",82.0,"126,728",블리자드,278
227,227,0,34,18,히어로즈 오브 더 스톰,RTS,1.13,"3,268","132,072",89.0,"89,823",블리자드,278
228,228,0,36,19,크레이지아케이드,아케이드,65.69,"5,718","100,593",30.0,"205,089",넥슨,278
229,229,0,38,20,한게임 로우바둑이,보드,15.31,"3,658","93,570",28.0,"202,851",한게임,278
230,230,0,40,21,테일즈런너,스포츠,5.27,"5,024","91,431",41.0,"136,369",스마일게이트,278
231,231,0,42,22,스타크래프트2,RTS,0.74,"3,244","86,867",74.0,"71,189",블리자드,278
232,232,0,44,23,스페셜포스,FPS,0.38,"2,944","84,082",95.0,"53,617",네오위즈,278
233,233,0,46,24,테라,RPG,1.97,"2,407","78,602",85.0,"55,817",넥슨,278
234,234,0,48,25,파이널판타지14,RPG,1.86,"2,173","73,941",139.0,"32,033",액토즈소프트,278
235,235,0,50,26,하스스톤,보드,11.8,"4,900","72,102",43.0,"100,744",블리자드,278
236,236,0,52,27,엘소드,RPG,1.78,"3,238","70,855",74.0,"57,438",넥슨,278
237,237,0,54,28,클로저스,액션,4.14,"3,008","63,429",72.0,"53,113",넥슨,278
238,238,0,56,29,거상,RPG,1.5,"2,194","59,632",89.0,"39,304",(주)에이케이인터렉티브,278
239,239,0,58,30,리니지2,RPG,1.49,"1,941","59,225",137.0,"26,095",엔씨소프트,278
240,240,0,0,1,배틀그라운드,FPS,77.0,"9,357","16,734,282",74.0,"13,768,906",카카오/스팀,277
241,241,0,2,2,리그 오브 레전드,RTS,89.59,"9,436","9,904,966",93.0,"6,426,612",라이엇게임즈,277
242,242,0,4,3,오버워치,FPS,14.81,"9,324","3,217,451",69.0,"2,832,118",블리자드,277
243,243,0,6,4,서든어택,FPS,7.06,"9,245","1,533,857",68.0,"1,370,147",넥슨,277
244,244,0,8,5,던전앤파이터,액션,75.08,"8,888","1,082,795",89.0,"719,055",넥슨,277
245,245,0,10,6,메이플스토리,RPG,25.11,"8,613","935,339",98.0,"566,516",넥슨,277
246,246,0,12,7,스타크래프트 리마스터,RTS,6.82,"8,882","753,653",70.0,"649,846",블리자드,277
247,247,0,14,8,천애명월도,RPG,11.68,"6,517","435,031",116.0,"228,890",넥슨,277
248,248,0,16,9,리니지,RPG,11.32,"6,018","421,721",117.0,"216,563",엔씨소프트,277
249,249,0,18,10,월드 오브 워크래프트,RPG,7.57,"5,407","281,798",124.0,"137,063",블리자드,277
250,250,0,20,11,아이온,RPG,6.29,"4,626","234,303",91.0,"155,368",엔씨소프트,277
251,251,0,22,12,디아블로3,RPG,5.63,"5,339","209,460",107.0,"114,700",블리자드,277
252,252,0,24,13,카트라이더,레이싱,83.05,"7,971","208,167",35.0,"357,082",넥슨,277
253,253,0,26,14,사이퍼즈,액션,13.54,"4,986","195,254",111.0,"105,852",넥슨,277
254,254,0,28,15,블레이드 & 소울,RPG,5.12,"4,727","190,643",101.0,"112,412",엔씨소프트,277
255,255,0,30,16,검은사막,RPG,4.66,"4,594","173,273",112.0,"92,851",(주)펄어비스,277
256,256,0,32,17,워크래프트3 리포지드,RTS,1.29,"3,850","141,663",84.0,"101,957",블리자드,277
257,257,0,34,18,히어로즈 오브 더 스톰,RTS,1.09,"3,188","120,214",86.0,"84,198",블리자드,277
258,258,0,36,19,크레이지아케이드,아케이드,63.64,"5,374","89,932",29.0,"186,181",넥슨,277
259,259,0,38,20,테일즈런너,스포츠,5.76,"4,879","86,717",40.0,"131,406",스마일게이트,277
260,260,0,40,21,한게임 로우바둑이,보드,14.26,"3,352","77,162",28.0,"168,372",한게임,277
261,261,0,42,22,스페셜포스,FPS,0.35,"2,642","75,583",100.0,"45,437",네오위즈,277
262,262,0,44,23,스타크래프트2,RTS,0.68,"3,009","75,174",73.0,"61,870",블리자드,277
263,263,0,46,24,엘소드,RPG,1.98,"3,186","73,605",73.0,"60,708",넥슨,277
264,264,0,48,25,파이널판타지14,RPG,1.87,"2,045","69,626",135.0,"30,931",액토즈소프트,277
265,265,0,50,26,테라,RPG,1.86,"2,159","68,938",84.0,"49,335",넥슨,277
266,266,0,52,27,하스스톤,보드,12.36,"4,720","66,897",43.0,"95,483",블리자드,277
267,267,0,54,28,GTA 5,액션,4.31,"1,984","62,050",73.0,"51,449",스팀,277
